36-1_DIL_202-19_AA6082.asc    T=325∞C    phi∞=0.001    Yield=0.23121452
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
     4        76.94351196    325.18936157     0.00021677     0.23121452
     5        78.54650116    325.18566119     0.00033797     0.65256967
     6        80.14948273    325.17886706     0.00049385     1.75902317
     7        81.75247192    325.16919472     0.00070587     3.92638324
     8        83.27924347    325.15912988     0.00099734     7.44997327
     9        84.88224029    325.15229401     0.00139551     12.49677810
    10        86.48522186    325.15148105     0.00192943     18.85251405
    11        88.08821106    325.15698798     0.00262369     25.75314722
    12        89.69122314    325.16646746     0.00349106     32.10826493
    13        91.29418945    325.17667744     0.00452825     37.10640890
    14        92.89720154    325.18574854     0.00571684     40.60524217
    15        94.50018310    325.19386184     0.00702874     42.91821998
    16        96.10316467    325.20190711     0.00843316     44.44303487
    17        97.70616150    325.20993052     0.00990222     45.49247856
    18        99.30914306    325.21707469     0.01141374     46.26802523
    19        100.91213989    325.22253183     0.01295169     46.87643189
    20        102.51513672    325.22588040     0.01450531     47.36332833
    21        104.11810303    325.22638592     0.01606801     47.75998111
    22        105.72109985    325.22239089     0.01763632     48.09824576
    23        107.32409668    325.21186230     0.01920876     48.39481515
    24        108.92709350    325.19396310     0.02078471     48.65325943
    25        110.53005981    325.17048106     0.02236325     48.87289680
    26        112.13305664    325.14581112     0.02394269     49.05167486
    27        113.73606872    325.12512829     0.02552101     49.19973868
    28        115.33905029    325.11189586     0.02709675     49.34020280
    29        116.94201660    325.10662091     0.02866972     49.48537529
    30        118.54501343    325.10776318     0.03024083     49.62841134
    31        120.14802551    325.11370618     0.03181127     49.75501241
    32        121.75100708    325.12393399     0.03338180     49.85736905
    33        123.35398865    325.13878066     0.03495248     49.94289138
    34        124.95698547    325.15842799     0.03652303     50.02443967
    35        126.55998230    325.18182221     0.03809338     50.10262277
    36        128.16296387    325.20595440     0.03966397     50.17035017
    37        129.76596069    325.22626795     0.04123557     50.23320327
    38        131.36895752    325.23851577     0.04280872     50.29528640
    39        132.97193909    325.24076761     0.04438321     50.34572415
    40        134.57495117    325.23371732     0.04595847     50.37877523
    41        136.17791748    325.21934789     0.04753418     50.40270976
    42        137.78091431    325.19988309     0.04911055     50.43295348
    43        139.38389587    325.17801493     0.05068777     50.46934458
    44        140.98689270    325.15720102     0.05226549     50.49508383
    45        142.58988952    325.14075636     0.05384288     50.50625840
    46        144.19287109    325.13038562     0.05541914     50.51571441
    47        145.79586792    325.12568726     0.05699397     50.53253678
    48        147.39886474    325.12499432     0.05856752     50.54892891
    49        149.00183105    325.12664109     0.06014013     50.55711857
    50        150.60482788    325.12973357     0.06171202     50.56324421
    51        152.20782471    325.13413818     0.06328298     50.57104283
    52        153.81080627    325.13991654     0.06485258     50.57519471
    53        155.41380310    325.14671618     0.06642046     50.57664387
    54        157.01681518    325.15361232     0.06798680     50.58493828
    55        158.61978149    325.15957371     0.06955241     50.60106375
    56        160.22277832    325.16425732     0.07111835     50.61575841
    57        161.82575989    325.16840365     0.07268537     50.62018880
    58        163.42874145    325.17324864     0.07425374     50.60890632
    59        165.03175354    325.17940173     0.07582380     50.58969754
    60        166.63473511    325.18636537     0.07739619     50.58274682
    61        168.23771667    325.19304143     0.07897166     50.59054082
    62        169.84071350    325.19829929     0.08055035     50.59429921
    63        171.44371033    325.20082845     0.08213156     50.58471598
    64        173.04669189    325.19877489     0.08371414     50.56745588
    65        174.64967346    325.19032927     0.08529708     50.54977701
    66        176.25267029    325.17552430     0.08687965     50.53623348
    67        177.85568237    325.15767152     0.08846117     50.52397649
    68        179.45866394    325.14235702     0.09004103     50.50325057
    69        181.06166077    325.13421070     0.09161901     50.47565601
    70        182.66464233    325.13436542     0.09319553     50.45842788
    71        184.26762390    325.14082492     0.09477127     50.45722000
