60-1_DIL_202-19_AA6082_average.asc    T=325∞C    phi∞=10.0    Yield=0.29516099
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
     4        0.00000000    325.17691040     0.00004016     0.29516099
     5        0.00130654    325.19271573     0.00261687     13.46644218
     6        0.00254536    325.20891811     0.00667467     28.53447594
     7        0.00386048    325.22549360     0.01291410     44.30850713
     8        0.00517559    325.24278756     0.02155359     58.89539730
     9        0.00648213    325.26242306     0.03225677     70.97187478
    10        0.00779534    325.28783997     0.04438144     80.16910715
    11        0.00910379    325.32382215     0.05734261     86.79721848
    12        0.01040459    325.37498310     0.07076743     91.43344282
    13        0.01171685    325.44406610     0.08445049     94.65022879
    14        0.01303388    325.53129274     0.09827866     96.90331418
    15        0.01434326    325.63527835     0.11218091     98.51466631
    16        0.01565076    325.75476566     0.12610471     99.69225510
    17        0.01696015    325.88987393     0.13999976     100.56430325
    18        0.01827527    326.04221775     0.15381138     101.21664765
    19        0.01958466    326.21429332     0.16749775     101.71362768
    20        0.02089501    326.40885940     0.18103789     102.10226589
    21        0.02220155    326.62849919     0.19442384     102.41087950
    22        0.02350903    326.87499191     0.20765425     102.65330685
    23        0.02482414    327.14835771     0.22073200     102.84201370
    24        0.02612973    327.44621724     0.23366869     102.99350518
    25        0.02743626    327.76434216     0.24649162     103.11898993
    26        0.02875519    328.09838409     0.25924551     103.21755546
    27        0.03006364    328.44555977     0.27198495     103.28419532
    28        0.03136731    328.80492979     0.28475939     103.32172375
    29        0.03269100    329.17614586     0.29759928     103.34079964
    30        0.03399182    329.55792011     0.31051551     103.34967063
    31        0.03529740    329.94760676     0.32351176     103.34541638
    32        0.03661347    330.34216421     0.33659186     103.31493244
    33        0.03792286    330.73956628     0.34974829     103.24521662
    34        0.03922749    331.13946234     0.36294333     103.13190865
    35        0.04054260    331.54257346     0.37611453     102.97855858
    36        0.04184628    331.94933004     0.38920038     102.79381994
    37        0.04315759    332.35889163     0.40216207     102.58993517
    38        0.04447270    332.76944024     0.41500072     102.37686346
    39        0.04578781    333.17954927     0.42775694     102.15711041
    40        0.04708862    333.58935849     0.44048371     101.92883100
    41        0.04840183    334.00034106     0.45321683     101.69245921
    42        0.04971505    334.41376740     0.46596718     101.45348050
    43        0.05102445    334.82925033     0.47873885     101.21797775
    44        0.05233098    335.24461515     0.49154885     100.98624599
    45        0.05363846    335.65699249     0.50442173     100.75394999
    46        0.05495549    336.06401021     0.51737502     100.51794040
    47        0.05626298    336.46420782     0.53041453     100.27928480
    48        0.05756856    336.85672743     0.54353359     100.04224960
    49        0.05888177    337.24089052     0.55671627     99.80808705
    50        0.06018639    337.61616542     0.56993615     99.56949143
    51        0.06149961    337.98260472     0.58314132     99.31551535
    52        0.06281281    338.34136153     0.59625608     99.04167970
    53        0.06412506    338.69468184     0.60921380     98.75478063
    54        0.06544019    339.04515780     0.62198799     98.47065235
    55        0.06674576    339.39474737     0.63459912     98.20428378
    56        0.06804943    339.74431482     0.64710213     97.95764299
    57        0.06936074    340.09394836     0.65956792     97.71910858
    58        0.07067109    340.44352722     0.67196491     97.49953079
