filename,temp_setpoint,phip,yield
01-1_DIL_179-18_AA6082_average.asc,350,0.001,0.22618524
02-1_DIL_179-18_AA6082_average.asc,375,0.001,0.16797041
03-1_DIL_179-18_AA6082_average.asc,400,0.001,0.19145202
04-1_DIL_179-18_AA6082_average.asc,425,0.001,0.16370451
05-1_DIL_179-18_AA6082_average.asc,450,0.001,0.22490258
06-1_DIL_179-18_AA6082_average.asc,475,0.001,0.21077872
07-1_DIL_179-18_AA6082_average.asc,500,0.001,0.27401015
08-1_DIL_179-18_AA6082_average.asc,350,0.01,0.27557453
09-1_DIL_179-18_AA6082_average.asc,375,0.01,0.23773212
10-1_DIL_179-18_AA6082_average.asc,400,0.01,0.19735587
11-1_DIL_179-18_AA6082_average.asc,425,0.01,0.302473
12-1_DIL_179-18_AA6082_average.asc,450,0.01,0.34063667
13-1_DIL_179-18_AA6082_average.asc,475,0.01,0.2127776
14-1_DIL_179-18_AA6082_average.asc,500,0.01,0.16720219
15-1_DIL_179-18_AA6082_average.asc,350,0.1,0.23619603
16-1_DIL_179-18_AA6082_average.asc,375,0.1,0.26296105
17-1_DIL_179-18_AA6082_average.asc,400,0.1,0.24855835
18-1_DIL_179-18_AA6082_average.asc,425,0.1,0.25415519
19-1_DIL_179-18_AA6082_average.asc,450,0.1,0.1895212
20-1_DIL_179-18_AA6082_average.asc,475,0.1,0.19580694
21-1_DIL_179-18_AA6082_average.asc,500,0.1,0.09521096
22-1_DIL_179-18_AA6082_average.asc,350,1.0,0.14971951
23-1_DIL_179-18_AA6082_average.asc,375,1.0,0.1118499
24-1_DIL_179-18_AA6082_average.asc,400,1.0,0.10678505
25-1_DIL_179-18_AA6082_average.asc,425,1.0,0.13322064
26-1_DIL_179-18_AA6082_average.asc,450,1.0,0.15032368
27-1_DIL_179-18_AA6082_average.asc,475,1.0,0.2069067
28-1_DIL_179-18_AA6082_average.asc,500,1.0,0.0803577
29-1_DIL_179-18_AA6082_average.asc,350,10.0,0.13918147
30-1_DIL_179-18_AA6082_average.asc,375,10.0,0.21717995
31-1_DIL_179-18_AA6082_average.asc,400,10.0,0.0
32-1_DIL_179-18_AA6082_average.asc,425,10.0,0.01266905
33-1_DIL_179-18_AA6082_average.asc,450,10.0,0.07924136
34-1_DIL_179-18_AA6082_average.asc,475,10.0,0.08237443
35-1_DIL_179-18_AA6082_average.asc,500,10.0,0.16851161
