temp,phi,phip,kf
350.2822723,2.56E-05,0.001,0.22618524
350.2556023,4.25E-05,0.001,0.19804746
350.2330986,5.81E-05,0.001,0.26209583
350.216778,7.19E-05,0.001,0.24926253
350.2074264,8.35E-05,0.001,0.15075867
350.2041722,9.32E-05,0.001,0.22911819
350.2045384,0.00010127,0.001,0.21776366
350.2052799,0.00010846,0.001,0.25231417
350.2038264,0.0001153,0.001,0.28785778
350.1994686,0.00012201,0.001,0.21543874
350.1933863,0.00012846,0.001,0.31967239
350.1875258,0.00013431,0.001,0.23501753
350.183294,0.00013939,0.001,0.19003529
350.1810124,0.00014382,0.001,0.10039266
350.1802037,0.00014793,0.001,0.2248339
350.1801197,0.00015207,0.001,0.23359823
350.1800629,0.00015649,0.001,0.24592694
350.1794967,0.00016124,0.001,0.25484019
350.1780385,0.00016621,0.001,0.18940894
350.1753919,0.0001713,0.001,0.27010034
350.1714159,0.00017641,0.001,0.24841264
350.1664425,0.00018141,0.001,0.22453052
350.1614837,0.00018601,0.001,0.1891317
350.1578882,0.00018987,0.001,0.25144727
350.1566513,0.00019276,0.001,0.21176966
350.1580316,0.00019464,0.001,0.17587975
350.1617179,0.00019566,0.001,0.21486125
350.1671932,0.00019601,0.001,0.21539895
350.1738858,0.00019596,0.001,0.24433746
350.1810289,0.0001959,0.001,0.21251268
350.1875107,0.00019633,0.001,0.1941454
350.1921429,0.00019766,0.001,0.27407439
350.1943673,0.0002,0.001,0.27224216
350.1947658,0.00020303,0.001,0.20250715
350.1947378,0.00020618,0.001,0.28998079
350.19551,0.00020893,0.001,0.20633066
350.1972793,0.00021098,0.001,0.21559329
350.1991286,0.00021233,0.001,0.19481948
350.1997337,0.00021314,0.001,0.26565292
350.1983625,0.00021356,0.001,0.23452285
350.1954836,0.00021357,0.001,0.23274233
350.1925766,0.00021303,0.001,0.18967556
350.1913233,0.00021186,0.001,0.27917976
350.1927833,0.0002103,0.001,0.20112164
350.1970365,0.00020878,0.001,0.18035909
350.2033397,0.00020783,0.001,0.31251273
350.210558,0.00020776,0.001,0.25092602
350.2176188,0.00020867,0.001,0.29204003
350.2237928,0.00021048,0.001,0.16898563
350.2286964,0.00021303,0.001,0.24716747
350.2321207,0.00021618,0.001,0.2455628
350.2339538,0.0002198,0.001,0.24948651
350.2342922,0.00022373,0.001,0.22891353
350.2335179,0.00022772,0.001,0.25720401
350.2321216,0.00023154,0.001,0.26281786
350.2303636,0.00023523,0.001,0.25088053
350.2280268,0.00023982,0.001,0.22431076
350.2244116,0.00024852,0.001,0.25702998
350.218684,0.00026788,0.001,0.22843623
350.2105783,0.00030798,0.001,0.2394211
350.2010085,0.00038117,0.001,0.26170652
350.1919102,0.00049993,0.001,0.23725995
350.1852675,0.00067501,0.001,0.25630765
350.1821074,0.00091474,0.001,0.86419082
350.182213,0.00122585,0.001,1.71615362
350.1845775,0.00161548,0.001,3.57306588
350.1880697,0.00209327,0.001,7.21620202
350.1918255,0.00267193,0.001,13.37278795
350.1953117,0.00336529,0.001,20.38003254
350.1982956,0.00418437,0.001,27.58162307
350.2007942,0.00513351,0.001,33.55075837
350.2028446,0.00620847,0.001,37.03623008
350.2041591,0.00739722,0.001,38.56314278
350.2041217,0.00868258,0.001,39.41295814
350.2023529,0.01004538,0.001,40.03609276
350.199274,0.01146721,0.001,40.59216308
350.1958812,0.01293235,0.001,41.00961304
350.1928626,0.01442868,0.001,41.27825927
350.1901218,0.0159476,0.001,41.62511062
350.1873073,0.01748318,0.001,41.81558227
350.1845996,0.01903102,0.001,42.12575722
350.1826626,0.02058756,0.001,42.28685952
350.1818337,0.02214996,0.001,42.53263855
350.1816637,0.02371623,0.001,42.5651989
350.1814297,0.02528528,0.001,42.69345093
350.1809876,0.02685653,0.001,42.87484169
350.1809523,0.02842963,0.001,42.98640633
350.1820245,0.03000432,0.001,43.0288868
350.1841995,0.03158037,0.001,43.07839202
