generation,mse,length,msetest,expr
100,333.9199523925781,1.0,nan,45.648437500000
100,333.919921875,2.0,nan,(6.756382942200 ^ 2)
100,149.18666076660156,3.0,nan,((9.610498428345 * X4) - (-55.258506774902))
100,148.7242431640625,4.0,nan,(((0.718287527561 * X4) + 7.398170471191) ^ 2)
100,48.82189178466797,5.0,nan,((9.748363494873 * X4) + (141.275695800781 + ((-0.201637431979) * X1)))
100,44.87966537475586,6.0,nan,((((-0.735789537430) * X4) + ((-13.903425216675) + (0.015340649523 * X1))) ^ 2)
100,44.45927429199219,7.0,nan,((exp((2.875210046768 + ((-0.002073198557) * X1))) + (0.736267924309 * X4)) ^ 2)
100,15.186899185180664,8.0,nan,(((146.205947875977 + ((-0.209572628140) * X1)) - ((-10.019142150879) * X4)) / (sqrt(1 + (1 / (79.326721191406 * X2)) ^ 2)))
100,10.764141082763672,9.0,nan,((((((-0.015727680176) * X1) - (-14.171912193298)) - ((-0.747386038303) * X4)) ^ 2) / (sqrt(1 + (1 / (77.960426330566 * X2)) ^ 2)))
38,11.568035125732422,10.0,nan,((tanh((((-54.087738037109) * X2) - ((-0.347417593002) * X4))) - (0.175977304578 * X4)) * ((-160.736862182617) - ((-0.243686109781) * X1)))
100,7.721077919006348,11.0,nan,(((((-0.762495517731) * X4) + ((-14.201886177063) + (0.015753231943 * X1))) ^ 2) / (sqrt(1 + (1 / (((-63.244415283203) * X2) - ((-0.227787420154) * X4))) ^ 2)))
100,7.6050639152526855,12.0,nan,(((((-0.906378686428) * X4) + ((-16.847532272339) + (0.018681900576 * X1))) ^ 2) / (sqrt(1 + (1 / tanh((((-40.143230438232) * X2) - ((-0.157120719552) * X4)))) ^ 2)))
100,5.398913860321045,13.0,nan,(((((9.735289573669 + ((-0.015730781481) * X1)) * tanh(((102.158279418945 * X2) - (0.187392711639 * X3)))) - (-4.429994106293)) + (0.759873330593 * X4)) ^ 2)
95,5.593845367431641,14.0,nan,((((((-0.999284982681) * X4) + ((-13.987362861633) + (0.020692953840 * X1))) * tanh(tanh(((68.658683776855 * X2) - (0.085966795683 * X3))))) - 3.527961254120) ^ 2)
100,2.6522111892700195,15.0,nan,(((((((-0.015721997246) * X1) - (-14.179610252380)) * tanh((((-31.723098754883) * X2) - exp(((-1.681866526604) * X4))))) * tanh(((-292.751342773438) * X2))) + (0.774025440216 * X4)) ^ 2)
100,2.559053659439087,16.0,nan,((((((-0.772769927979) * X4) + ((-8.753978729248) + (0.015815913677 * X1))) * tanh(((42.798259735107 * X2) - (0.706484913826 * X4)))) - (5.464055538177 * tanh((272.131713867188 * X2)))) ^ 2)
100,2.3194427490234375,17.0,nan,((((((((-0.015719607472) * X1) - (0.297980487347 * X2)) - (-14.272711753845)) * tanh((((-28.294956207275) * X2) - exp(((-1.450889587402) * X4))))) * tanh(((-283.305297851562) * X2))) + (0.782639384270 * X4)) ^ 2)
