generation,mse,length,msetest,expr
100,347.6007995605469,1.0,253.14575507855534,47.347167968750
100,347.6007080078125,2.0,253.09417839077426,sqrt(2241.590576171875)
100,152.79928588867188,3.0,131.43861432496786,((9.723889350891 * X4) + 56.442657470703)
100,152.322021484375,4.0,136.18950900054864,(80.783332824707 / (sqrt(1 + exp(((-0.340515285730) * X4)) ^ 2)))
100,53.912506103515625,5.0,9.646508060994968,((140.340240478516 + (9.743644714355 * X4)) - (0.199152484536 * X1))
100,49.09463882446289,6.0,8.241468592390838,(((19.723138809204 / (sqrt(1 + (0.005886291619 * X1) ^ 2))) - ((-0.736826777458) * X4)) ^ 2)
46,49.29437255859375,7.0,8.128653909641095,((((0.734418272972 * X4) + 20.307975769043) - sqrt((0.394276887178 * X1))) ^ 2)
100,17.04012680053711,8.0,8.300752623748545,((((-144.611724853516) - ((-0.205973267555) * X1)) - (9.986596107483 * X4)) * tanh(((-63.563636779785) * X2)))
100,12.190680503845215,9.0,6.891988463071751,(((((-14.137324333191) - ((-0.015675596893) * X1)) - (0.744133710861 * X4)) ^ 2) * tanh((62.490829467773 * X2)))
17,12.734692573547363,10.0,8.372340225154609,((((-1234.582153320312) + (((-126.842681884766) * X4) + (1.227158784866 * X1))) * tanh(((-62.418102264404) * X2))) / (sqrt(1 + ((-0.029963221401) * X1) ^ 2)))
100,10.930106163024902,11.0,5.120817568405493,(((((10.734167098999 - (0.015773415565 * X1)) - ((-0.752248108387) * X4)) * tanh(((-52.557098388672) * X2))) - 3.454131126404) ^ 2)
100,10.671772956848145,12.0,5.74289449372026,(((1.230565786362 * X4) - ((((-18.572343826294) - ((-0.020599810407) * X1)) - (2.601068496704 * X4)) * tanh(tanh(((-66.751022338867) * X2))))) ^ 2)
100,8.681862831115723,13.0,2.8767302704566644,(((((12380.500976562500 / (sqrt(1 + (4.211731433868 * X1) ^ 2))) - ((-0.811217486858) * X4)) - ((-16.401296615601) / (sqrt(1 + (107.704055786133 * X2) ^ 2)))) ^ 2) * tanh((11.134487152100 * X2)))
100,2.2723119258880615,14.0,2.156118741481302,(((((20.264322280884 / (sqrt(1 + ((-0.005965594202) * X1) ^ 2))) - ((-0.775646984577) * X4)) - (exp(((-53.041629791260) * X2)) * (0.706480264664 * X3))) * tanh(((-225.283691406250) * X2))) ^ 2)
84,2.9870152473449707,15.0,1.6730092095212186,((((((-18.550222396851) - ((-0.020475644618) * X1)) - (1.012781500816 * X4)) - (exp(((-53.276264190674) * X2)) * ((-0.923462092876) * X3))) * tanh(tanh(((-181.118774414062) * X2)))) ^ 2)
100,2.2695655822753906,16.0,2.2323171577889616,((((((22.330669403076 / (sqrt(1 + ((-0.006980197039) * X1) ^ 2))) - (-0.298452824354)) - ((-0.775871992111) * X4)) - (exp(((-53.117382049561) * X2)) * (0.708370685577 * X3))) * tanh(((-227.128707885742) * X2))) ^ 2)
100,2.2209370136260986,17.0,2.1518099077150135,((((((26.615804672241 / (sqrt(1 + ((-0.005967292935) * X1) ^ 2))) - ((-0.903000295162) * X4)) - ((-0.115251280367) * X4)) - (exp(((-52.748149871826) * X2)) * (0.918201506138 * X3))) * tanh(tanh(((-181.093200683594) * X2)))) ^ 2)
100,1.8913705348968506,18.0,2.3673033437738655,(((((1.195328593254 + (((-0.287329882383) * X2) - ((-71088.828125000000) / (sqrt(1 + ((-26.478635787964) * X1) ^ 2))))) - ((-0.784224212170) * X4)) - (exp(((-46.501411437988) * X2)) * (0.636989533901 * X3))) ^ 2) * tanh((137.789093017578 * X2)))
94,1.9672774076461792,19.0,2.5582800375164365,(((((exp(((-45.526222229004) * X2)) * (0.523434579372 * X3)) + ((1.142550945282 - ((-0.780605077744) * X4)) * tanh(((-65.280120849609) * X2)))) + ((-27695.509765625000) / (sqrt(1 + (10.372259140015 * X1) ^ 2)))) * tanh((235.328506469727 * X2))) ^ 2)
100,1.8383618593215942,20.0,1.5471092871249637,(((0.012254357338 * X3) - (tanh(((-216.750900268555) * X2)) * (((1.117858886719 + (((-0.287067204714) * X2) - ((-55640.828125000000) / (sqrt(1 + ((-20.664457321167) * X1) ^ 2))))) - ((-0.753830015659) * X4)) - (exp(((-46.228061676025) * X2)) * (0.657491683960 * X3))))) ^ 2)
32,2.5750889778137207,21.0,2.060508638366088,((((((-1.710435748100) + (0.001874027424 * X1)) - (0.121107861400 * X4)) * tanh(((-142.422622680664) * X2))) * (((316.162750244141 + (0.041687101126 * X1)) - ((-23.150783538818) * X4)) - (exp(((-43.165679931641) * X2)) * (39.536380767822 * X3)))) / (sqrt(1 + ((-0.012682669796) * X1) ^ 2)))
100,1.7083238363265991,22.0,1.4972892917614087,(((-1.086839556694) * X4) - ((((((((-20324.671875000000) / (sqrt(1 + (9.247987747192 * X1) ^ 2))) - (3.656694173813 - (0.003074016888 * X1))) - ((-0.307053476572) * X2)) - (exp(((-44.328807830811) * X2)) * ((-0.601747691631) * X3))) - (0.875464141369 * X4)) ^ 2) * tanh(((-131.147979736328) * X2))))
100,1.5639019012451172,23.0,2.337139140022599,((((((exp(((-40.613212585449) * X2)) * ((-0.458080947399) * X3)) + ((((0.327527284622 * X2) - 1.255667805672) - (0.579011559486 * X4)) * tanh(((-43.672180175781) * X2)))) + (8365.378906250000 / (sqrt(1 + (3.136165380478 * X1) ^ 2)))) * tanh(((-264.320434570312) * X2))) - (0.210181280971 * X4)) ^ 2)
100,1.2505593299865723,24.0,1.9846832240671597,((((((-1.160401701927) + ((0.337919682264 * X2) - (10046.285156250000 / (sqrt(1 + (3.710226297379 * X1) ^ 2))))) - (0.788974761963 * X4)) - ((((41.814498901367 - (0.036010786891 * X1)) - (16.675571441650 * X4)) * exp(((-46.075645446777) * X2))) * ((-0.062984071672) * X3))) * tanh(((-251.337951660156) * X2))) ^ 2)
