generation,mse,length,msetest,expr
100,388.5413818359375,1.0,nan,42.868194580078
100,224.8255157470703,2.0,nan,sqrt((33954.039062500000 * X2))
100,130.17771911621094,3.0,nan,(log((20320.208984375000 * X2)) ^ 2)
100,126.2562484741211,4.0,nan,(sqrt((101860.835937500000 * X2)) + ((-413.637878417969) * X2))
100,95.56256866455078,5.0,nan,((2916.337646484375 * X2) / (sqrt(1 + ((0.187656879425 * X1) * ((-0.642659544945) * X2)) ^ 2)))
100,62.24235153198242,6.0,nan,((((-0.038931950927) * X1) + 27.384332656860) * log((1744.014038085938 * X2)))
100,35.602909088134766,7.0,nan,((4486.202148437500 * X2) / (sqrt(1 + ((((-1.234854459763) * X1) - ((-89.519294738770) * X4)) * (0.153354629874 * X2)) ^ 2)))
100,29.79375457763672,8.0,nan,((24.424381256104 - ((0.035128910094 * X1) + ((-0.959937453270) * X4))) * log((4344.014648437500 * X2)))
100,25.019561767578125,9.0,nan,((4533.090332031250 * X2) / (sqrt(1 + ((((-27.118383407593) + ((-7.227178573608) * X4)) - ((-0.171900823712) * X1)) * ((-1.829547405243) * X2)) ^ 2)))
100,13.89202880859375,10.0,nan,((((1591.971435546875 * X2) - (0.529269337654 * X3)) / (sqrt(1 + ((((-6.910405158997) * X4) - ((-0.164922043681) * X1)) * ((-3.086554288864) * X2)) ^ 2))) ^ 2)
100,10.542614936828613,11.0,nan,((144.225677490234 - ((0.203011304140 * X1) + ((-9.834733009338) * X4))) / (sqrt(1 + ((((-14.349267005920) * X3) + (-29.982563018799)) / (sqrt(1 + ((-6061.743164062500) * X2) ^ 2))) ^ 2)))
100,3.9252688884735107,12.0,nan,(((13.868251800537 - ((0.014882261865 * X1) + ((-0.735595166683) * X4))) / (sqrt(1 + ((((-9.684434890747) * X3) + (-17.257061004639)) / (sqrt(1 + ((-6061.743164062500) * X2) ^ 2))) ^ 2))) ^ 2)
100,3.5714526176452637,13.0,nan,((((((-0.015322353691) * X1) + 14.022054672241) * exp((0.103111207485 * X4))) / (sqrt(1 + ((((-9.995617866516) * X3) + (-17.828754425049)) / (sqrt(1 + ((-5998.477539062500) * X2) ^ 2))) ^ 2))) ^ 2)
100,3.0034353733062744,14.0,nan,((((-14.123763084412) - (((-0.015495581552) * X1) + (0.737882971764 * X4))) / (sqrt(1 + (((((-0.324800163507) * X1) + (44.403572082520 * X3)) + 216.841934204102) / (sqrt(1 + (28077.658203125000 * X2) ^ 2))) ^ 2))) ^ 2)
100,2.4047863483428955,15.0,nan,((((3.925995111465 - ((0.002786805620 * X1) + ((-0.140989169478) * X4))) ^ 2) / (sqrt(1 + ((exp(exp((0.775584220886 * X4))) * 35.210758209229) / (sqrt(1 + (16131.900390625000 * X2) ^ 2))) ^ 2))) ^ 2)
98,2.521012783050537,16.0,nan,((((-14.061820030212) - (((-0.015333663672) * X1) + (0.744205176830 * X4))) / (sqrt(1 + ((((-33.534721374512) - (45.257064819336 * X3)) / (sqrt(1 + (((-0.005333688576) * X1) + ((-0.275938421488) * X3)) ^ 2))) / (sqrt(1 + (5194.541503906250 * X2) ^ 2))) ^ 2))) ^ 2)
100,2.237656593322754,17.0,nan,((((-14.162672042847) - (((-0.015568386763) * X1) + (0.749900102615 * X4))) / (sqrt(1 + ((((((-0.391382932663) * X1) + (27.385841369629 * X3)) + 272.651824951172) * exp((0.207743182778 * X4))) / (sqrt(1 + ((-25417.480468750000) * X2) ^ 2))) ^ 2))) ^ 2)
100,2.082923650741577,18.0,nan,(((((((-0.014198128134) * X1) + 13.485697746277) - (((-8.844925880432) * X2) + ((-0.666292130947) * X4))) / (sqrt(1 + ((((2.776983022690 * X1) + ((-433.701202392578) * X3)) + (-2064.039794921875)) / (sqrt(1 + ((-310585.906250000000) * X2) ^ 2))) ^ 2))) ^ 2) + ((-131.331756591797) * X2))
100,1.8333617448806763,19.0,nan,(((exp(((-0.270168781281) * X4)) + (13.100226402283 - ((0.015518543310 * X1) + ((-1.097725510597) * X4)))) / (sqrt(1 + ((85.272674560547 - ((-34.085952758789) * X3)) / (sqrt(1 + (((13.077472686768 * X1) + ((-524.748901367188) * X4)) * (4.585871696472 * X2)) ^ 2))) ^ 2))) ^ 2)
