generation,mse,length,msetest,expr
100,20722.421875,1.0,nan,435.515625000000
8,20722.42578125,2.0,nan,sqrt(189681.093750000000)
100,4887.1845703125,3.0,nan,(1949.933227539062 + ((-1.917772650719) * X1))
100,4679.37548828125,4.0,nan,((3.098644495010 * X1) - ((0.056598670781 * X1) ^ 2))
100,3861.690673828125,5.0,nan,(((-1.669440746307) * X1) - ((-1784.440917968750) / (sqrt(1 + ((-1.762517094612) * X2) ^ 2))))
100,2484.572998046875,6.0,nan,(tanh((398.209838867188 * X2)) * (2017.788330078125 - (1.992786049843 * X1)))
100,2288.53857421875,7.0,nan,(tanh((399.952056884766 * X2)) * ((3.195504903793 * X1) - ((0.057546034455 * X1) ^ 2)))
100,918.89501953125,8.0,nan,(((-740.432006835938) * X2) + (tanh((327.427947998047 * X2)) * (1847.814697265625 - (1.690911054611 * X1))))
100,741.78125,9.0,nan,(tanh((328.203582763672 * X2)) * ((((-735.764648437500) * X2) - ((-3.061711788177) * X1)) - ((0.055091056973 * X1) ^ 2)))
100,721.6392822265625,10.0,nan,(tanh((328.588836669922 * X2)) * (((-1.726040601730) * X1) - (((-1982.259277343750) - (28.439952850342 * X4)) + (710.017395019531 * X2))))
100,503.6697082519531,11.0,nan,(tanh((330.411529541016 * X2)) * ((((-702.300048828125) * X2) - ((-3.244190692902) * X1)) - ((((-0.055535092950) * X1) - ((-0.339683115482) * X4)) ^ 2)))
75,516.7577514648438,12.0,nan,(tanh((330.233245849609 * X2)) * ((((3.254032135010 * X1) + ((-704.375305175781) * X2)) - ((0.056396648288 * X1) ^ 2)) - (((-2.049608469009) * X4) ^ 2)))
100,448.1917419433594,13.0,nan,(tanh((331.391815185547 * X2)) * ((703.881408691406 + ((-702.747375488281) * X2)) - ((((-0.067329071462) * X1) - ((-44.540401458740) - (1.200231075287 * X4))) ^ 2)))
38,573.4791259765625,14.0,nan,(sqrt(tanh((195.153686523438 * X2))) * ((((-719.128784179688) * X2) - ((-1.374445199966) * X1)) - ((((-0.067012742162) * X1) - ((-31.959722518921) - (0.674965083599 * X4))) ^ 2)))
100,267.71026611328125,15.0,nan,(tanh((316.279235839844 * X2)) * ((724.342407226562 + ((-1646.187011718750) * X2)) - ((((-0.080747246742) * X1) - (((-55.956127166748) - (1.533692359924 * X4)) + ((-36.935859680176) * X2))) ^ 2)))
100,264.0476379394531,16.0,nan,(tanh(tanh((249.439712524414 * X2))) * ((951.714660644531 + ((-2171.817626953125) * X2)) - ((((-0.092731088400) * X1) - (((-64.309562683105) - (1.761478900909 * X4)) + ((-42.523735046387) * X2))) ^ 2)))
100,178.05128479003906,17.0,nan,(tanh((315.309112548828 * X2)) * ((((-55694.347656250000) * X3) + (751.126037597656 + ((-1794.837768554688) * X2))) - ((((-0.080174662173) * X1) - (((-61.962287902832) - (3.299475193024 * X4)) + ((-43.164459228516) * X2))) ^ 2)))
100,160.9417724609375,18.0,nan,(tanh((324.175201416016 * X2)) * ((((2.745792150497 * X1) + ((-1173.120971679688) * X2)) - ((0.050309121609 * X1) ^ 2)) - ((((-0.062851063907) * X1) - (((-58.882511138916) - (4.373327732086 * X4)) + ((-48.859058380127) * X2))) ^ 2)))
46,183.42347717285156,19.0,nan,(tanh((316.723693847656 * X2)) * ((((1412.879760742188 - (1.114875674248 * X1)) + ((-1196.301147460938) * X2)) - (-55.017593383789)) - ((((-0.077996619046) * X1) - (((-68.234626770020) - (3.620001792908 * X4)) + ((-43.222599029541) * X2))) ^ 2)))
100,157.89523315429688,20.0,nan,(tanh((316.680297851562 * X2)) * (((736.518127441406 - ((((-0.026170760393) * X1) - (3.779868364334 * X4)) ^ 2)) + ((-1644.175415039062) * X2)) - ((((-0.076424613595) * X1) - (((-66.220657348633) - (4.768096446991 * X4)) + ((-42.731159210205) * X2))) ^ 2)))
72,160.94003295898438,21.0,nan,((tanh((324.227325439453 * X2)) * ((((2.747203350067 * X1) + ((-1170.811157226562) * X2)) - ((0.050331309438 * X1) ^ 2)) - ((((-0.062793083489) * X1) - (((-58.885921478271) - (4.381530761719 * X4)) + ((-48.782024383545) * X2))) ^ 2))) - ((0.000156830647 * X1) ^ 2))
100,153.43978881835938,22.0,nan,(tanh((322.855834960938 * X2)) * (((((2.909767150879 * X1) - ((0.048137452453 * X1) ^ 2)) + ((-1547.339599609375) * X2)) + ((-182.071441650391) + ((-37197.976562500000) * X3))) - ((((-0.065316498280) * X1) - (((-55.970710754395) - (4.061550140381 * X4)) + ((-49.421592712402) * X2))) ^ 2)))
100,137.85125732421875,23.0,nan,(tanh((322.659271240234 * X2)) * (((((1115.769165039062 - ((-76.511833190918) * X4)) + ((-278.453308105469) * X2)) - ((0.050396498293 * X1) ^ 2)) - (((((-0.011919860728) * X1) - (((-13.868256568909) - (0.783515632153 * X4)) + ((-9.710207939148) * X2))) ^ 2) ^ 2)) - ((-1.636305809021) * X1)))
100,136.39183044433594,24.0,nan,(tanh(tanh((256.726226806641 * X2))) * (((1758.764526367188 - ((-43.791435241699) * X4)) - ((((-16.202350616455) * X2) - (0.037514533848 * X1)) ^ 2)) - (((-22.204929351807) + (((0.009422624484 * X1) - ((11.411322593689 - ((-575.131530761719) * X3)) + (6.786121368408 * X2))) ^ 2)) ^ 2)))
100,124.33397674560547,25.0,nan,(tanh(tanh((255.747940063477 * X2))) * (((2217.562011718750 - ((-107.057212829590) * X4)) - ((((-0.030312869698) * X1) - ((0.003765195142 * X1) ^ 2)) ^ 2)) - ((4.233258247375 + (((0.012221843004 * X1) - ((10.882402420044 - ((-840.775390625000) * X3)) + (10.534585952759 * X2))) ^ 2)) ^ 2)))
95,127.57982635498047,26.0,nan,(tanh(tanh((255.659927368164 * X2))) * (((2217.562011718750 - ((-107.057212829590) * X4)) - (((0.053374182433 * X1) - (9.242712020874 / (sqrt(1 + (1.149573683739 * X2) ^ 2)))) ^ 2)) - ((3.691552162170 + (((0.012859256007 * X1) - ((11.463505744934 - ((-840.775390625000) * X3)) + (9.996547698975 * X2))) ^ 2)) ^ 2)))
95,126.69560241699219,27.0,nan,(tanh((317.704895019531 * X2)) * ((((3.784024953842 * X1) + ((-1888.254516601562) * X2)) - ((((-0.059572383761) * X1) - (((-0.649837791920) * X4) + ((-13.414334297180) * X2))) ^ 2)) - ((((-0.004006801639) * X1) + ((((-77.204605102539) + (((-80.690261840820) * X2) - ((-0.091884970665) * X1))) ^ 2) * (0.028939483687 + ((-55.347602844238) * X3)))) ^ 2)))
95,124.85149383544922,28.0,nan,(tanh((321.623413085938 * X2)) * ((((-0.540002405643) * X1) + ((97.098495483398 * X4) + (2830.285156250000 - (1.900987386703 * X1)))) - (((98.151916503906 - (2.290666580200 * X4)) + (((-0.118142738938) * X1) + ((((-71.728691101074) + (((-22.547842025757) * X2) - ((-0.070266984403) * X1))) ^ 2) * ((-0.060986474156) + ((-6.868553161621) * X3))))) ^ 2)))
