generation,mse,length,msetest,expr
100,23473.2109375,1.0,7460.2457842194135,444.578125000000
100,23473.20703125,2.0,7460.229201676431,sqrt(197649.546875000000)
100,4875.15625,3.0,5063.3010472357655,(((-1.948205113411) * X1) - (-1970.041015625000))
100,4689.55419921875,4.0,4659.135193714922,((3.107878446579 * X1) - ((0.056730106473 * X1) ^ 2))
100,3978.072998046875,5.0,3363.5530058779846,(((-1.707954764366) * X1) - ((-1809.877685546875) / (sqrt(1 + ((-1.674349069595) * X2) ^ 2))))
100,2253.250732421875,6.0,3759.850481697293,(tanh(((-393.688171386719) * X2)) * ((-2038.528442382812) + (2.024024963379 * X1)))
100,2083.718505859375,7.0,3343.6806608180223,(tanh(((-395.155914306641) * X2)) * (((-3.205334186554) * X1) + ((0.057680770755 * X1) ^ 2)))
100,829.02734375,8.0,1441.9907120319504,((tanh(((-330.589996337891) * X2)) * ((1.725298404694 * X1) + (-1869.154663085938))) - (707.416992187500 * X2))
100,652.2630004882812,9.0,1208.511411383428,(tanh(((-330.984222412109) * X2)) * (((708.697448730469 * X2) - (3.070682287216 * X1)) + (((-0.055243570358) * X1) ^ 2)))
100,554.5335083007812,10.0,1243.4532888179804,(((((-1.926951169968) * X1) + 1892.269409179688) * (((-2.470392227173) * X2) - ((-0.001831831294) * X1))) / (sqrt(1 + (1 / (344.042205810547 * X2)) ^ 2)))
100,544.6755981445312,11.0,470.2771267979016,(tanh(((-332.369110107422) * X2)) * ((((686.579772949219 * X2) - (3.318502902985 * X1)) + (((-0.056777227670) * X1) ^ 2)) + ((-23.102937698364) * X4)))
100,458.5849914550781,12.0,475.64912788501397,((((0.001973391278 * X1) - (2.593336343765 * X2)) * (((16.047321319580 * X4) + 1823.041015625000) - (1.795995473862 * X1))) / (sqrt(1 + (1 / (347.295959472656 * X2)) ^ 2)))
100,458.5848388671875,13.0,475.6388387750345,(((((-1.532434105873) * X2) - ((-0.001166276052) * X1)) * (((27.154111862183 * X4) + ((-55.538787841797) ^ 2)) - (3.038789510727 * X1))) / (sqrt(1 + (1 / (347.563049316406 * X2)) ^ 2)))
100,387.35540771484375,14.0,357.9203928350787,(((((-2.956618547440) * X2) - (((-0.003327285405) * X1) + 0.867554724216)) * (((16.569389343262 * X4) + 1823.291870117188) - (1.833501458168 * X1))) / (sqrt(1 + (1 / (345.362579345703 * X2)) ^ 2)))
