generation,mse,length,msetest,expr
100,25943.0,1.0,nan,418.982421875000
100,25942.99609375,2.0,nan,exp(6.037831306458)
100,15614.7880859375,3.0,nan,(((-1.548811912537) * X1) + 1642.020507812500)
100,14893.474609375,4.0,nan,(tanh(((-407.115631103516) * X2)) * (-474.360107421875))
100,11253.7783203125,5.0,nan,(((-1.879131317139) * X1) + (1803.210205078125 + (12286.983398437500 * X2)))
100,1299.917724609375,6.0,nan,(tanh(((-346.656829833984) * X2)) * ((-2064.346679687500) + (1.995469212532 * X1)))
100,1172.653564453125,7.0,nan,(tanh((344.644195556641 * X2)) * sqrt((((-1941.252075195312) * X1) + 1789514.500000000000)))
100,651.998046875,8.0,nan,(tanh(((-341.278106689453) * X2)) * (((2.059077501297 * X1) + (-2093.787353515625)) - (72722.210937500000 * X3)))
100,352.4152526855469,9.0,nan,(tanh((338.717285156250 * X2)) * sqrt((((-1994.268798828125) * X1) - (((-53973.347656250000) * X4) - 2042009.750000000000))))
62,426.5460510253906,10.0,nan,((tanh((338.885223388672 * X2)) * (((-2316.466796875000) - ((-2.188819408417) * X1)) + ((-47.393024444580) * X4))) * ((-0.001578715048) * X1))
95,360.0562438964844,11.0,nan,(tanh((338.349243164062 * X2)) * sqrt((((6038.051269531250 * X4) - ((2005.904296875000 * X1) + (-1847235.125000000000))) - ((-63686512.000000000000) * X3))))
62,392.3963928222656,12.0,nan,((tanh(((-339.701141357422) * X2)) * (((-2104.332275390625) + (2.070643186569 * X1)) + ((-37.179218292236) * X4))) / (((-0.001544247149) * X1) + 1.856786727905))
100,351.56890869140625,13.0,nan,(tanh((343.737640380859 * X2)) * sqrt((((((-2016.614257812500) * X1) - (((-7354.977050781250) * X4) - 1854352.875000000000)) + (545189.062500000000 * X2)) - ((-63899768.000000000000) * X3))))
100,292.5694885253906,14.0,nan,((tanh(((-338.225524902344) * X2)) * ((0.147363111377 * X4) - ((-0.968871355057) + (0.002326093148 * X1)))) * (((-2.037768840790) * X1) - (((-76.047203063965) * X4) - 2259.305908203125)))
100,288.9434509277344,16.0,nan,((tanh(((-338.243896484375) * X2)) * ((0.081543795764 * X4) - ((-2.341491460800) + (0.002097687451 * X1)))) * (((-2.145195722580) * X1) - ((((-214.350646972656) * X4) - ((-81856.546875000000) * X3)) + (-1163.790405273438))))
20,312.22344970703125,17.0,nan,((((-0.135377347469) ^ 2) - tanh(((-332.374786376953) * X2))) * ((((((-3295.364746093750) * X1) - ((-1063822464.000000000000) * X3)) / (sqrt(1 + (11077.023437500000 - (8.836401939392 * X1)) ^ 2))) + 1115.872680664062) - (200116.031250000000 * X3)))
100,263.6846923828125,18.0,nan,((((((-515.371765136719) * X3) - (-0.775516450405)) + (((-0.371436297894) - tanh(((-330.877685546875) * X2))) * ((-2.243374586105) + (0.005900616758 * X1)))) * (1286.609741210938 + ((-1.357146263123) * X1))) + (169122.984375000000 * X3))
29,298.5126647949219,19.0,nan,(((0.120273247361 ^ 2) - tanh(((-340.281494140625) * X2))) * ((((((-3184.516357421875) * X1) - ((-1063822464.000000000000) * X3)) / (sqrt(1 + ((11472.191406250000 + ((-9.424739837646) * X1)) + (5127.384765625000 * X2)) ^ 2))) + 1098.404296875000) - (200116.031250000000 * X3)))
100,247.74974060058594,20.0,nan,(((((0.094436235726 * X4) - (491.968017578125 * X3)) + (((1.281996965408 + ((-0.001392434002) * X1)) - tanh(((-330.526184082031) * X2))) * ((-1.239273548126) + (0.003859799355 * X1)))) * (((-1.688803672791) * X1) - (-1617.577880859375))) + (163083.750000000000 * X3))
46,285.4326171875,21.0,nan,((tanh(((-2.425836801529) * X2)) - tanh(((-339.465515136719) * X2))) * (((((((-5382.555175781250) * X1) - ((-1950205568.000000000000) * X3)) / (sqrt(1 + ((18438.337890625000 + ((-15.158014297485) * X1)) + (14287.416015625000 * X2)) ^ 2))) + 1336.230712890625) - (291170.156250000000 * X3)) + (45.381122589111 * X4)))
100,220.96726989746094,22.0,nan,((((((-53.684589385986) * X4) - ((-162434.031250000000) * X3)) + (((((-0.003054561792) * X1) + 2.574885606766) - tanh(((-329.703491210938) * X2))) * (1308.978149414062 + ((-1.393378496170) * X1)))) * ((-2.782668590546) + (0.006687347777 * X1))) + ((160.935546875000 * X4) - (383141.656250000000 * X3)))
100,208.22483825683594,23.0,nan,(((((78.115844726562 * X4) - ((-79080.742187500000) * X3)) + ((((-0.000562686299) * X1) - tanh(((-360.709167480469) * X2))) * (2083.920654296875 + ((-3.285969018936) * X1)))) * ((-2.565966606140) + (0.003429939505 * X1))) + (tanh(((-327.912292480469) * X2)) * ((-708.696472167969) + ((-30.161481857300) * X4))))
97,214.22607421875,24.0,nan,((((((-60.404602050781) * X4) - ((-194439.375000000000) * X3)) + (((((-0.003054106142) * X1) + 2.518150568008) - tanh(((-341.284027099609) * X2))) * (1680.090942382812 + ((-1.805246949196) * X1)))) * ((0.005767644383 * X1) + (-2.513154983521))) + (((144.966125488281 * X4) - (367879.375000000000 * X3)) + (907.709228515625 * X2)))
100,194.4542694091797,25.0,nan,(((((56.470123291016 * X4) - ((-115839.312500000000) * X3)) + (((1.288747429848 + ((-0.001901947660) * X1)) - tanh(((-364.336212158203) * X2))) * (1983.837036132812 + ((-3.174819707870) * X1)))) * ((-2.604678869247) + (0.003457620507 * X1))) + (tanh(((-328.644531250000) * X2)) * ((-702.024414062500) + ((-30.336954116821) * X4))))
100,193.16641235351562,26.0,nan,((((143102.609375000000 * X3) + (((((-0.002997064497) * X1) + 2.615882635117) - tanh(((-359.508178710938) * X2))) * (945.525878906250 + ((-1.640420675278) * X1)))) * (exp((113.712318420410 * X3)) - (((-0.005257504061) * X1) + 4.978711605072))) + (tanh(((-331.103851318359) * X2)) * ((-797.440734863281) + ((-54.072845458984) * X4))))
78,195.73211669921875,27.0,nan,(((((68.455802917480 * X4) - ((-143139.265625000000) * X3)) + (((1.173052430153 + ((-0.002023631474) * X1)) - tanh(((-413.651336669922) * X2))) * (3140.670166015625 + ((-4.329214096069) * X1)))) * ((0.002752321539 * X1) + (-2.058392524719))) + (tanh(((-329.460968017578) * X2)) * (((-1455.120605468750) + (1.001977443695 * X1)) + ((-28.450042724609) * X4))))
100,182.8028564453125,28.0,nan,((((72.646125793457 * X4) + ((((((-82.799873352051) * X3) - 0.312102347612) * (0.001967086224 * X1)) - tanh(((-343.786376953125) * X2))) * ((((-2.815623998642) * X1) + 2586.441650390625) + (1374.973999023438 * X2)))) * (((0.442388325930 * X4) - (460.569274902344 * X3)) - (((-0.005197501741) * X1) + 0.787318646908))) + (136.982604980469 + (0.661501705647 * X1)))
