length,cv_score,cv_stderr
1.0,29515.261471010446,4937.366228950794
2.0,28894.417892482812,4930.695169054696
3.0,18079.012334051113,2573.5313256469612
4.0,20489.596844730717,3018.523340370684
5.0,14777.009861607303,2308.989538568114
6.0,1868.4840355306012,520.1451524855759
7.0,1449.6585451239278,517.3940711178178
8.0,1253.2572736546947,247.93311154161756
9.0,459.54605016852463,84.70094790356262
10.0,1043.9435216712966,434.9058159046432
11.0,954.5617971020195,509.15776503707815
12.0,585.5272594840011,149.09132730504032
13.0,567.9240876286104,169.46283163792504
14.0,716.8291446674849,213.68930244594483
15.0,718.399243784644,185.3793994106599
16.0,484.6329708585056,97.8083018892416
17.0,657.6764522656313,175.66780286283284
18.0,1086.2907076393772,397.7396396967083
19.0,759.4737682282843,240.10938799018652
20.0,557.959127337092,113.97211628519022
21.0,655.3113859940904,167.11684599761375
22.0,822.081018365094,227.80718098666478
23.0,495.06407922544304,86.65482247226238
24.0,665.7677114968367,147.53196625737738
25.0,746.7784795734857,254.75323930865667
26.0,821.0256075541288,270.9544771186302
27.0,673.4507051280028,199.24351068933564
28.0,569.8939600954852,148.07236769402883
29.0,724.8931457007988,224.00953949302271
30.0,804.6684630753961,262.0207358281387
31.0,721.4159070513556,222.78375007695087
32.0,622.1775542636934,169.75524612587145
33.0,758.860123336797,247.5884283341739
34.0,570.9463749085015,158.07662943706413
35.0,932.9562450207824,234.98453579196064
36.0,695.949971486117,169.86328247240314
37.0,737.7056719567618,202.48790337496675
38.0,885.586669108481,310.65098019472447
39.0,1954.8015961875585,1207.0094356895268
40.0,791.0019998297523,220.88539855308798
41.0,3535.5618093756248,1723.1155175886704
42.0,2177.474211072343,969.2688922260686
43.0,33667.62606636479,31502.278881575134
44.0,4123.379955368985,1852.4718959243053
45.0,3148.506192426978,1318.5908000676216
46.0,15240.13987724072,12516.769317885059
47.0,4342.717432131209,1484.7012091300137
48.0,6098.151547333148,2793.3491885025046
49.0,2788.6338578874506,1103.9120123126418
50.0,4763.108446988134,1968.5198532759437
51.0,3702.1531274683502,1186.7800704190597
52.0,42506.38381359843,38348.12088088726
53.0,99602.40747442917,67520.60520693916
54.0,102469.33671170156,79411.66701514
55.0,90342.01154129459,72551.01069409653
56.0,33681.75326871258,27602.441452176226
57.0,8145.685963216591,3431.521487419194
58.0,6168.465984807385,4187.867780647041
59.0,6951.999184428736,2525.568985221983
60.0,333445.52495614154,325466.99253667914
61.0,7179.663872482493,3192.820103730337
62.0,216446.0388978212,210210.36382818135
63.0,27196.058288231292,13958.63548058631
64.0,6426.042448154376,3000.571714527169
65.0,13479.335388187857,8679.058235709266
66.0,7857.669534065026,3222.5576856063294
67.0,37747999.19519136,37743608.8991317
68.0,278861.0068244089,272506.51559809205
69.0,25904366.244713813,25899326.676896334
70.0,54953571.06143515,54947871.67910461
71.0,313227.5866373538,307096.2896383219
72.0,8423777.874367889,8417916.284849027
73.0,13731713.212996436,13710951.487377629
74.0,46028619.93280128,46023032.497035444
75.0,6827558.706600092,6821759.136060506
76.0,16509027.646793693,16502306.183836782
77.0,11688.40427708702,6464.953043565724
78.0,25087861.41736748,25082942.681178313
79.0,5790839.246524975,5785951.172384996
80.0,53132.95875411458,46795.43232471402
81.0,4782.304920619806,1508.1021854923965
82.0,9202579.169714298,9196026.021469465
83.0,1046783.8728097785,1041516.5621100941
84.0,753571.4709046199,745384.3432891435
85.0,13586.685370026364,7665.334671016543
86.0,637343.5877121433,633478.5472339371
87.0,32978.633482033074,27960.794065669175
88.0,97632.94735724389,84913.7093937267
89.0,546474.1969217277,510515.6258220067
90.0,3175017.897953947,3158115.974247887
91.0,182107.44352849355,166867.36898238736
92.0,1571896.1654635884,1565185.7269699532
93.0,4919019.48574357,4900965.810141654
94.0,1142059.8586124408,1126032.3251187853
95.0,340612.3140038449,328234.58081662364
97.0,266485.065623043,257693.00171402158
98.0,689065.8615941498,682564.252411795
99.0,59540.78492871314,56765.80567507757
100.0,508875.389753935,500530.02847794903
96.0,600496.3578833124,590701.5514610163
