generation,mse,length,msetest,expr
100,24925.439453125,1.0,38661.49974553594,407.703125000000
100,24925.43359375,2.0,38655.64478634556,exp(6.010592460632)
100,15132.9951171875,3.0,21018.568921971644,(1614.694091796875 - (1.516819715500 * X1))
100,12100.5458984375,4.0,15170.832401727717,((173145.296875000000 * X2) * exp(((-122.293746948242) * X2)))
100,11124.677734375,5.0,12946.90701096386,(((11524.431640625000 * X2) - (-1770.560180664062)) - (1.832119703293 * X1))
100,1401.1541748046875,6.0,216.6343178498961,(((-2048.051513671875) - ((-1.976372718811) * X1)) * tanh(((-346.329711914062) * X2)))
100,1260.3038330078125,7.0,241.6135326489228,(sqrt((1770144.875000000000 - (1918.671997070312 * X1))) * tanh((343.980316162109 * X2)))
100,660.358154296875,8.0,676.5075001396366,((((-2064.247070312500) - ((-2.025320529938) * X1)) + ((-75027.656250000000) * X3)) * tanh(((-340.108367919922) * X2)))
100,355.564453125,9.0,548.9662450046027,(sqrt(((1791854.125000000000 - ((-70233040.000000000000) * X3)) + ((-1970.931152343750) * X1))) * tanh((337.234405517578 * X2)))
8,777.1683959960938,10.0,557.1549342656756,(((((-2.119967460632) * X1) + ((62.034214019775 * X4) - (-2430.303710937500))) / (sqrt(1 + (1 / (369.476684570312 * X2)) ^ 2))) - 10.265522003174)
100,337.8743896484375,11.0,222.65213536277838,((722.390502929688 - ((((-0.071947835386) * X1) + ((2.080276966095 * X4) - (-50.349319458008))) ^ 2)) * tanh((336.054626464844 * X2)))
100,322.46923828125,12.0,274.507730103422,((((-1.029082179070) * X1) - ((((-0.394711405039) * X1) + (62864.433593750000 * X3)) * ((0.009191263467 * X1) - 6.200423240662))) * tanh(((-337.415618896484) * X2)))
100,307.5331726074219,13.0,154.13739559358288,(((1301.267089843750 + ((-0.906620860100) * X1)) - ((((-0.068778626621) * X1) + ((3.349447011948 * X4) - (-58.665126800537))) ^ 2)) * tanh((336.514434814453 * X2)))
100,299.4083251953125,14.0,184.71795437989212,(((0.993355572224 * X1) - (((0.161544352770 * X4) - ((-0.962641298771) + (0.001524917665 * X1))) * (2048.034912109375 + ((-2.998082160950) * X1)))) * tanh((336.530517578125 * X2)))
33,374.9862365722656,15.0,433.78615363890543,(((((-187064.593750000000) * X3) + ((((3.151916265488 * X3) + (-0.030782954767)) * (((-0.352849692106) * X1) ^ 2)) - ((-3.663129568100) * X1))) / (sqrt(1 + (1 / (352.025177001953 * X2)) ^ 2))) - ((-11645.429687500000) * X3))
100,283.5405578613281,16.0,170.8873924710905,((((-0.973647713661) * X1) - (((0.001745649381 * X1) + (((-0.186814278364) * X4) - 1.178547263145)) * (((1104.854492187500 * X2) - (-1926.403198242188)) + ((-2.812602758408) * X1)))) * tanh(((-346.284820556641) * X2)))
49,299.40216064453125,17.0,180.32533977055368,((((1 / ((-355.688934326172) * X2)) - (0.992590844631 * X1)) - (((0.001470376854 * X1) + (((-0.155885577202) * X4) - 0.927028000355)) * (2118.770507812500 + ((-3.101744890213) * X1)))) * tanh(((-336.842620849609) * X2)))
100,278.3001708984375,18.0,173.01404796037744,((661.911804199219 + ((((-0.211611717939) * X4) - ((1986.734252929688 - (2.218178033829 * X1)) * (0.000504238124 + (0.036635424942 * X2)))) * (1833.625122070312 + ((-2.639155387878) * X1)))) * tanh((348.350524902344 * X2)))
23,356.2540588378906,19.0,284.99353352716275,(((0.002473495202 * X1) + (((-0.148297548294) * X4) - 1.042911648750)) * (((((-2.080481290817) * X1) + ((77.421295166016 * X4) - (-2301.704589843750))) / (sqrt(1 + (1 / (361.286590576172 * X2)) ^ 2))) - tanh((544.295898437500 / (sqrt(1 + 277.834960937500 ^ 2))))))
100,276.0667724609375,20.0,177.28785644503697,((665.522521972656 + ((((-0.172779351473) * X4) - ((1986.734252929688 - (2.249216794968 * X1)) * (0.000460671901 + (0.026139704511 * X2)))) * (((912.172363281250 * X2) - (-2155.547363281250)) - (3.127493143082 * X1)))) * tanh((350.074768066406 * X2)))
100,261.900634765625,21.0,190.37201195139735,((((-0.967203497887) * X1) - ((((1.953455090523 + ((-0.002337554703) * X1)) * tanh(((-269.171691894531) * X2))) + (((-0.229034304619) * X4) - (-0.334128320217))) * (1586.124877929688 + ((876.446899414062 * X2) - (2.308838605881 * X1))))) * tanh(((-347.074584960938) * X2)))
77,273.15423583984375,22.0,191.31324135327384,((((-647.760131835938) - (8580.859375000000 * X3)) - ((((-0.174976602197) * X4) - ((1978.819335937500 - (2.266310930252 * X1)) * (0.000440303556 + (0.027667565271 * X2)))) * (((1301.588134765625 * X2) - (-2177.389160156250)) - (3.107032775879 * X1)))) * tanh(((-348.894592285156) * X2)))
100,251.27818298339844,23.0,190.94335284779913,((((-0.958661675453) * X1) - ((((((-0.002351620933) * X1) + (((-0.183790400624) * X4) - (-1.276332020760))) * tanh(((-275.170898437500) * X2))) + (((-0.405505269766) * X4) - 0.319001764059)) * (1586.124877929688 + ((875.878906250000 * X2) - (2.299363136292 * X1))))) * tanh(((-346.879730224609) * X2)))
